Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
collider.com,https://collider.com/feed/,Collider,Entertainment,Enabled,13830,,article,,collider.com,Entertainment; Film and TV,57,
cnbc.com,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100727362,CNBC,Business,Enabled,13716,,article,,cnbc.com,Business,58,
techopedia.com,https://www.techopedia.com/feed,Techopedia,Technology,Enabled,13312,,article,,techopedia.com,Technology,60,
cbr.com,https://www.cbr.com/feed/,Comic Book Resources,Entertainment,Enabled,13105,,article,,cbr.com,Entertainment,61,
tomsguide.com,https://www.tomsguide.com/feeds/all,Tom's Guide,Technology,Enabled,13058,,article,,tomsguide.com,Technology,62,
theverge.com,https://feeds.feedburner.com/WindowsReport2,The Verge,Technology,Enabled,12864,,article,,theverge.com,Technology,63,
cnn.com,http://rss.cnn.com/rss/cnn_latest.rss,CNN,World News,Enabled,12693,,article,,cnn.com,World News,64,
amarujala.com,https://www.amarujala.com/rss/breaking-news.xml,Amar Ujala,Top News,Enabled,12174,,article,,amarujala.com,Top News,66,
prokerala.com,https://www.prokerala.com/news/all/rss.xml,Prokerala,Top News,Enabled,12036,,article,,prokerala.com,Top News,67,
androidauthority.com,https://www.androidauthority.com/feed,Android Authority,Technology,Enabled,11131,,article,,androidauthority.com,Technology,68,
oneindia.com,https://www.oneindia.com/rss/feeds/news-india-fb.xml,Oneindia,Top News,Enabled,11051,,article,,oneindia.com,Top News,69,
beebom.com,https://beebom.com/rss,Beebom,Technology,Enabled,10923,,article,,beebom.com,Technology,70,
deccanherald.com,https://prod-qt-images.s3.amazonaws.com/production/deccanherald/feed.xml,Deccan Herald,Top News,Enabled,10740,,article,,deccanherald.com,Top News,71,
animenewsnetwork.com,https://www.animenewsnetwork.com/all/rss.xml?ann-edition=in,Anime News Network India,Entertainment,Enabled,9841,,article,,animenewsnetwork.com,Entertainment,72,
wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ World News,World News,Enabled,9570,,article,,wsj.com,World News,73,
zeebiz.com,https://www.zeebiz.com/latest.xml,Zee Business,Business,Enabled,9529,,article,,zeebiz.com,Business,74,
variety.com,https://variety.com/feed/,Variety,Entertainment,Enabled,9412,,article,,variety.com,Entertainment,75,
espn.in,https://www.espn.in/rss,ESPN India,Sports,Enabled,9369,,article,,espn.in,Sports,,
goodreturns.in,https://goodreturns.in/rss/,Goodreturns,Business,Enabled,9019,,article,,goodreturns.in,Business,76,
