Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://elotrolado.net/,https://www.elotrolado.net/feed/,El Otro Lado,Gaming,Disabled,,,article,,www.elotrolado.net,Gaming,71,
https://diariosur.es/,https://www.diariosur.es/rss/2.0/portada,Sur,Top News,Disabled,,,article,,www.diariosur.es;malagaenfuturo.diariosur.es,Top News,72,
https://ideal.es/,https://www.ideal.es/rss/2.0/portada,Ideal,Top News,Disabled,,,article,,www.ideal.es,Top News,73,
https://huffingtonpost.es/,https://www.huffingtonpost.es/rss/index.xml,El HuffPost,Top News,Disabled,,,article,,www.huffingtonpost.es,Top News,74,
https://lne.es/,https://www.lne.es/rss/,La Nueva España,Top News,Disabled,,,article,,www.lne.es,Top News,75,
https://muyinteresante.es/,https://www.muyinteresante.es/rss,MuyInteresante.es,Culture,Disabled,,,article,,www.muyinteresante.es,Culture,76,
https://elle.com/,https://www.elle.com/es/rss/all.xml/,Elle España,Fashion,Disabled,,,article,,www.elle.com,Fashion,77,
https://psicologiaymente.com/,https://psicologiaymente.com/feeds/blog/rss,Psicología y Mente,Health,Disabled,,,article,,psicologiaymente.com,Health,78,
https://diariovasco.com/,https://www.diariovasco.com/rss/2.0/portada,Diario Vasco,Top News,Disabled,,,article,,clasica-san-sebastian.diariovasco.com;www.diariovasco.com,Top News,79,
https://dailymail.co.uk/,https://www.dailymail.co.uk/news/spain/index.rss,Daily Mail Spain,World News,Disabled,,,article,,www.dailymail.co.uk,World News,80,
https://levante-emv.com/,https://www.levante-emv.com/rss/,Levante-EMV,Top News,Disabled,,,article,,levante-emv.com,Top News,81,
https://motorpasion.com/,https://www.motorpasion.com/index.xml,Motorpasión,Sports,Disabled,,,article,,motorpasion.com,Sports,82,
https://investopedia.com/,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Disabled,,,article,,investopedia.com,Business,83,
https://applesfera.com/,https://www.applesfera.com/index.xml,Applesfera,Technology,Disabled,,,article,,applesfera.com,Technology,84,
