Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://www.meilleure-innovation.com,https://www.meilleure-innovation.com/feed/,Meilleure-Innovation,Technology,Enabled,,,article,,meilleure-innovation.com,Technology,78,
https://www.gamespot.com,https://www.gamespot.com/feeds/news,Gamespot,Gaming,Enabled,,,article,,gamespot.com,Gaming,79,
https://www.slate.fr,https://www.slate.fr/rss.xml,Slate,Culture,Enabled,,,article,,slate.fr,Culture,80,
https://www.justgeek.fr,https://www.justgeek.fr/feed/,JustGeek,Technology,Enabled,,,article,,justgeek.fr,Technology,81,
https://www.maison-travaux.fr,https://www.maison-travaux.fr/feed,Maison & Travaux,Home,Enabled,,,article,,maison-travaux.fr,Home,82,
https://www.public.fr,https://www.public.fr/var/exports/rss_news.xml,Public,Celebrity News,Enabled,,,article,,public.fr,Celebrity News,83,
https://www.courrierinternational.com,https://www.courrierinternational.com/feed/all/rss.xml,Courrier international,World News,Enabled,,,article,,courrierinternational.com,Top Sources;World News,84,
https://www.aufeminin.com,https://www.aufeminin.com/feed,aufeminin,Culture,Enabled,,,article,,aufeminin.com,Culture,85,
https://www.parents.fr,https://www.parents.fr/feeds/rss,Parents,Culture,Enabled,,,article,,parents.fr,Culture,86,
https://www.jardiner-malin.fr,https://www.jardiner-malin.fr/rss,Jardiner Malin,Home,Enabled,,,article,,jardiner-malin.fr,Home,87,
https://www.gameblog.fr,https://www.gameblog.fr/rssmap/rss_all.xml,Gameblog,Gaming,Enabled,,,article,,gameblog.fr,Gaming,88,
https://www.ptitchef.com,https://www.ptitchef.com/upload_data/rss/fr/recipes-latest.rss,Ptitchef,Food,Enabled,,,article,,ptitchef.com,Food,89,
https://www.nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,World News,Enabled,,,article,,nytimes.com,World News,90,
https://www.zdnet.fr,https://www.zdnet.fr/feeds/rss/,ZDNet,Technology,Enabled,,,article,,zdnet.fr,Technology,91,
https://www.marianne.net,https://www.marianne.net/rss.xml,Marianne,Top News,Enabled,,,article,,marianne.net,Top News,92,
https://www.gamerant.com,https://gamerant.com/feed/,Game Rant,Technology,Enabled,,,article,,gamerant.com,Technology,93,
https://www.motorsport.com,https://www.motorsport.com/rss/all/news/,Motorsport,Sports,Enabled,,,article,,motorsport.com,Sports,94,
https://www.reviews.tn,https://reviews.tn/feed/,Reviews,Entertainment,Enabled,,,article,,reviews.tn,Entertainment,95,
https://www.makeuseof.com,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,makeuseof.com,Technology,96,
https://www.dailymail.co.uk,https://www.dailymail.co.uk/news/worldnews/index.rss,The Daily Mail,World News,Enabled,,,article,,dailymail.co.uk,World News,97,
https://www.dotesports.com,https://dotesports.com/feed,Dot Esports,Gaming,Enabled,,,article,,dotesports.com,Gaming,98,
https://www.techtribune.net,https://fr.techtribune.net/feed/,Tech Tribune France,Technology,Enabled,,,article,,techtribune.net,Technology,99,
https://www.tomshardware.fr,https://www.tomshardware.fr/rss,Toms Hardware France,Technology,Enabled,,,article,,tomshardware.fr,Technology,100,
https://www.techradar.com,https://www.techradar.com/rss,Techradar,Technology,Enabled,,,article,,techradar.com,Technology,101,
